N,Total memory (hybrid),Total memory (hybrid close),Total memory (downward),Total memory (hybrid translation invariant),Total memory (matrix),Time to factor (hybrid),Time to factor (hybrid close),Time to factor (downward),Time to factor (hybrid translation invariant),Time to factor (matrix),Rows at leaf level (hybrid),Rows at leaf level (hybrid close),Rows at leaf level (downward),Rows at leaf level (hybrid translation invariant),Rows at leaf level (matrix)
32,375372,828164,255611,375372,1385020,0.444287061691284,0.439780473709106,0.470347881317139,0.3073410987854,0.441839933395386,13,16,16,13,121
64,,,1308382,,,,,1.29833436012268,,,,,19,,
128,6501688,55719628,7075185,6595761,46352507,10.5737533569336,10.816082239151,3.66625475883484,0.982986211776733,7.10852408409119,14,32,23,14,135
256,,,43578272,,,,,16.1427836418152,,,,,30,,
512,100506248,1298813551,306901887,102760294,1138623646,150.149112701416,177.578850269318,72.3259403705597,14.5996875762939,164.737899303436,14,45,43,14,138
1024,,,2515205257,,,,,354.560533046722,,,,,69,,
2048,1573727140,24301407459,23518580677,1614096820,24774436605,2473.91403698921,2924.72979331017,1818.34293317795,387.848064661026,4932.27213382721,14,52,117,14,139
