N,Total memory (hybrid),Total memory (hybrid close),Total memory (matrix),Time to factor (hybrid),Time to factor (hybrid close),Time to factor (matrix),Rows at leaf level (hybrid),Rows at leaf level (hybrid close),Rows at leaf level (matrix)
32,129169,298644,93698,0.423828125,0.435721397399902,0.353109121322632,10,14,24
64,,,,,,,,,
128,2442042,5901637,1792625,8.44288611412048,10.0576069355011,2.25383067131043,12,20,23
256,,,,,,,,,
512,38725014,98660143,34546521,102.620165109634,139.67669916153,47.6220953464508,12,29,22
1024,,,,,,,,,
2048,619335034,1584285711,627352626,1766.4539949894,2303.2476773262,1910.99693465233,13,36,22
