N,Total memory (hybrid),Total memory (hybrid close),Total memory (matrix),Time to factor (hybrid),Time to factor (hybrid close),Time to factor (matrix),Rows at leaf level (hybrid),Rows at leaf level (hybrid close),Time to apply (hybrid)
32,41403408,145046228,7953453,9.96127510070801,9.63582468032837,3.74798727035522,10,15,4.33065795898438
64,,,,,,,,,
128,2526685735,10022070282,694569634,382.50118970871,472.22545170784,439.952137470245,12,21,177.203091621399
256,,,,,,,,,
512,160665203054,631962090626,,24979.260710001,31707.4646246433,,12,29,9324.38280367851
